name,team,time
Laurence Gauthier,Sherbrooke Vert & Or,00:29:57
Elisa Tripotin,Université du Québec à Montréal Les Citadins,00:30:10
Marine Garnier,Montréal Carabins,00:30:34
Abene Glasgow,McGill Martlets,00:31:22
Marie-Renee Emond,Université du Québec à Trois-Rivières Les Patriote,00:31:24
Meredith Boyer,Montréal Carabins,00:31:30
Laurianne Heynemand,Sherbrooke Vert & Or,00:31:36
Chloe Desjardins,McGill Martlets,00:31:40
Louisiane Le Bail,Université du Québec à Montréal Les Citadins,00:31:49
Klara Gal,Montréal Carabins,00:31:51
Melina Hamel,Ottawa Gee-Gees,00:32:01
Sophie Rashid-Cocker,McGill Martlets,00:32:08
Angele-Emilie Berube,Sherbrooke Vert & Or,00:32:11
Marie-Ange Hebert,Sherbrooke Vert & Or,00:32:20
Marick Thibault,Université du Québec à Trois-Rivières Les Patriote,00:32:21
Maine Dupuis-Azizah,Université du Québec à Trois-Rivières Les Patriote,00:32:21
Sofia Veilleux,McGill Martlets,00:32:25
Zoe Gardiner,McGill Martlets,00:32:29
Veronique Ducharme,Sherbrooke Vert & Or,00:32:31
Elsa Benhamou,Sherbrooke Vert & Or,00:32:34
Eloise Dube,Sherbrooke Vert & Or,00:32:35
Juliette Belanger,Sherbrooke Vert & Or,00:32:36
Elana Camire Matveyenko,Sherbrooke Vert & Or,00:32:39
Marie-Soleil Courchesne,Université du Québec à Trois-Rivières Les Patriote,00:32:59
Victoria LeBlanc,Montréal Carabins,00:33:01
Sandrine Marin,Sherbrooke Vert & Or,00:33:18
Charlotte Edge,Unattached,00:33:33
Marie-Pierre Bouffard,Montréal Carabins,00:33:35
Alyssa Roberge,RMC Saint-Jean,00:33:40
Justine Champagne,Montréal Carabins,00:33:53
Mary-Lune Baril,Sherbrooke Vert & Or,00:34:12
Eliana Portillo-Laflamme,Montréal Carabins,00:34:12
Alice Roze,École de technologie supérieure,00:34:12
Sara Gross,Carleton Ravens,00:34:17
Lea Gobeil,Université du Québec à Trois-Rivières Les Patriote,00:34:18
Laura Auclair,Université du Québec à Trois-Rivières Les Patriote,00:34:22
Marianne Bogus,UQAC Inuk,00:34:30
Emy-Jade Caron,Sherbrooke Vert & Or,00:34:35
Dominique Gelinas,Université du Québec à Montréal Les Citadins,00:34:47
Kylee Fowler,Ottawa Gee-Gees,00:34:50
Arowyn Fitzpatrick,McGill Martlets,00:34:55
Emmanuelle Chaput,Sherbrooke Vert & Or,00:35:02
Justine Ratelle,Montréal Carabins,00:35:29
Gabrielle Caron,UQAC Inuk,00:35:37
Noee Jean,UQAC Inuk,00:35:40
Rosalie Gaudet,Université du Québec à Trois-Rivières Les Patriote,00:35:47
Elizabeth Tetu,Université du Québec à Trois-Rivières Les Patriote,00:35:53
Marie-Eve Fortier,Université du Québec à Trois-Rivières Les Patriote,00:35:57
Romane Archambault,Montréal Carabins,00:35:57
Marilou Moreau,Université du Québec à Montréal Les Citadins,00:35:59
Ariane Brasselet,École de technologie supérieure,00:35:60
Katarina Culhane,Ottawa Gee-Gees,00:36:03
Elodie Grenier,Montréal Carabins,00:36:14
Elana Tyman,Ottawa Gee-Gees,00:36:21
Julianne Couture,Université du Québec à Trois-Rivières Les Patriote,00:36:31
Grace Farrington,Ottawa Gee-Gees,00:36:35
Raphaelle Rivard,Sherbrooke Vert & Or,00:36:48
Maude Gagnon,Université du Québec à Trois-Rivières Les Patriote,00:37:11
Josephine Wild,Montréal Carabins,00:37:26
Kassandra Langelier,Montréal Carabins,00:37:31
Janelle Allanach,Ottawa Gee-Gees,00:38:07
Emy Decelles,Université du Québec à Trois-Rivières Les Patriote,00:38:10
Maxine Kang-Auger,Montréal Carabins,00:38:20
Lisa Van Assel,École de technologie supérieure,00:40:09
Clemence Imbeault,RMC Saint-Jean,00:40:38
Nada Chabibi,Montréal Carabins,00:40:48
Sydney Nielsen,Carleton Ravens,00:41:50
Florence Dostaler,Montréal Carabins,658597:59:18
Camelie Houle,Université du Québec à Trois-Rivières Les Patriote,658597:59:18
